Date,Open,High,Low,Close,Volume
2011-04-29,102.81105807413343,103.4610898198141,100.86538913642467,101.50878143310547,18625880
2011-05-02,101.97089127598908,102.39982400103634,100.02521545937901,101.27000427246094,14156740
2011-05-03,101.19924076795635,101.51320437690048,98.2652589055252,98.86001586914062,21480560
2011-05-04,99.22926749647142,101.04891541062862,97.62851226657146,100.00090789794922,26421220
2011-05-05,99.75326660461775,100.59122719006304,97.7257852406081,98.18788146972656,18698980
2011-05-06,98.38909967534266,102.5899825828292,98.38909967534266,101.583984375,21551460
2011-05-09,101.7939991075758,102.36885797484257,99.42381707204167,100.77030944824219,7797180
2011-05-10,100.73273590123125,100.73273590123125,98.39350400249506,99.33538818359375,13046440
2011-05-11,99.93677878760701,100.33033485895392,98.21220875527968,99.98320770263672,9821700
2011-05-12,99.49457050174115,100.1534480865749,98.83127336506287,99.06121826171875,9478860
2011-05-13,98.69860596951804,101.26335607549673,98.42665848005747,99.5409927368164,11646140
2011-05-16,99.27348167577208,100.20652001397967,98.88877145606551,99.62944793701172,12541240
2011-05-17,99.58301479721634,100.55364290471988,99.09660091599243,99.60291290283203,12223880
2011-05-18,99.85273762219137,100.71944874328214,99.1850210156097,100.26177215576172,13870960
2011-05-19,100.40108613742616,100.99804956074412,99.8350730743623,100.54701232910156,15022540
2011-05-20,100.37896984167021,102.58996036681714,99.73335763946797,102.39981842041016,23827740
2011-05-23,101.48447502273625,101.65251247824084,99.3154936453763,100.14461517333984,20092800
2011-05-24,99.67145495551203,101.37392044049885,99.41498598001186,99.72894287109375,9004880
2011-05-25,99.49456594930001,100.24630132032442,99.28894546571583,99.7046127319336,8314880
2011-05-26,99.71566849933427,100.68850294009022,99.05237136962695,100.12248992919922,19899900
2011-05-27,100.15345613614805,102.23620553416525,100.04953930648678,101.86697387695312,11662040
2011-05-30,101.88246486866983,102.92605291399856,101.58840602792712,102.04165649414062,7849500
2011-05-31,102.80665080051217,106.51226672650184,102.36887220090996,106.10765838623047,35393460
2011-06-01,105.68535267003986,106.43708813871336,105.0110032233051,106.04795837402344,13143340
