Date,Open,High,Low,Close,Volume
2011-04-18,156.73513322923444,157.82560019884457,155.4768902955221,156.21295166015625,200740
2011-04-19,156.86095338140353,157.07066053833054,155.39300328291446,156.4247589111328,188080
2011-04-20,156.94060546833114,159.37740102317233,155.9025527307132,157.2635498046875,579320
2011-04-21,160.33875317264216,162.1484206552715,159.0289568502511,161.46083068847656,376500
2011-04-25,161.51986733570868,167.25468799018591,159.95909282238605,165.2003631591797,373080
2011-04-26,166.62405279025532,167.0036999561255,161.84257882927298,164.28709411621094,165580
2011-04-27,166.16004935244013,166.62406831989455,161.9417185088985,166.42791748046875,200440
2011-04-28,166.20431990301913,167.00368883574296,163.7576806807173,165.59054565429688,149320
2011-04-29,163.88211893058167,170.84236336392684,163.88211893058167,168.43370056152344,1426200
2011-05-02,169.2394443801943,169.2394443801943,164.93885284852595,166.6388397216797,165040
2011-05-03,167.04586883219383,169.78356089636966,162.42258273369146,169.22463989257812,251660
2011-05-04,169.10868914492414,171.85481405891906,168.73325148118226,170.9373321533203,338560
2011-05-05,169.99872649366299,175.8200176858039,168.73322728899552,174.4132080078125,511120
2011-05-06,173.58432788898102,174.21707756536858,166.2064707817664,169.11500549316406,408820
2011-05-09,167.28422134094367,176.91677525107912,167.28422134094367,174.12213134765625,2727440
2011-05-10,174.6388877348964,176.72906489364473,172.112111812012,173.5294647216797,132620
2011-05-11,173.82475920159075,173.87959956135546,169.61908290721115,170.45852661132812,133140
2011-05-12,170.42479644213597,173.79101637264685,168.0329970785351,169.35755920410156,150600
2011-05-13,170.63149813735416,175.4825790485521,170.5893122504178,173.91969299316406,230820
2011-05-16,172.95577518731596,176.7480502364094,172.52971968184116,176.16802978515625,1066040
2011-05-17,176.7480884490452,177.38083816902986,173.08446860020018,173.65394592285156,1430780
2011-05-18,174.63891075833382,176.07102955877866,171.2220599297014,172.47279357910156,82900
2011-05-19,175.69343546651137,177.25422263559025,171.13764445008144,171.99606323242188,115960
2011-05-20,174.6810547523382,174.6810547523382,170.92674347918495,171.12289428710938,1161340
2011-05-23,171.89911208124633,171.89911208124633,168.7332523738499,168.89987182617188,79640
2011-05-24,169.15505399940145,171.0490802850685,168.37045070119285,169.09178161621094,184440
2011-05-25,168.39574615137244,170.20328930730227,163.4645171347484,164.27442932128906,311200
2011-05-26,164.64143016573726,167.88321604439383,164.59925716044592,165.9048309326172,135720
2011-05-27,167.25252695686154,170.20535733728542,165.03369459628556,168.4779510498047,181880
2011-05-30,169.3238224651725,172.49179351550174,168.74380188861602,169.60223388671875,146580
2011-05-31,171.25787790302317,171.89696112788363,169.61906532195778,171.23468017578125,213780
2011-06-01,171.47938519322,174.3858086867817,171.47516274256918,173.13929748535156,490260
2011-06-02,171.68606586911503,174.59671158559735,171.26845523376198,173.17091369628906,175480
2011-06-03,173.79522263945339,174.67053139794993,172.44535168321562,172.6668243408203,73980
2011-06-06,174.21707288728825,175.06073909981748,171.77465559748515,174.69163513183594,141660
2011-06-07,175.0185957459921,176.06896918970426,173.2173725789218,175.69775390625,156620
2011-06-08,176.3262241701621,177.59172338669438,174.21705880927502,176.37261962890625,335820
2011-06-09,176.3684190456873,176.3684190456873,175.07127713326642,176.1511688232422,85640
2011-06-10,175.5395439112572,178.04733223165942,175.48259231592107,176.31149291992188,121000
2011-06-13,176.32620458106217,177.1192527283832,172.99372625574964,174.94891357421875,186420
2011-06-14,178.01350504499442,178.01350504499442,174.00820324121324,175.20620727539062,209200
2011-06-15,175.48255498534053,176.52870562061113,170.926763034089,171.89064025878906,293420
2011-06-16,171.47512370383805,171.47512370383805,166.62404394345887,166.67677307128906,881660
2011-06-17,170.20970621744792,170.20970621744792,162.81708152703115,166.09683227539062,340260
2011-06-20,165.57156429247684,166.6240355713543,163.46028806050583,164.2554473876953,173980
2011-06-21,166.58189551127322,167.41290726760732,163.51728460703725,164.00450134277344,102320
2011-06-22,163.67333548493417,166.07145535691825,162.61664162940053,165.11599731445312,153460
2011-06-23,165.11596687738367,166.61980246118745,164.0930270636545,165.89215087890625,145400
2011-06-24,166.6240593342015,169.15505770383493,165.78039321099033,168.69737243652344,215340
2011-06-27,168.31138084824607,169.53469407423296,164.97890244872227,166.57131958007812,205560
2011-06-28,165.7804003395325,168.72900944748187,164.81018940545005,165.91539001464844,244520
2011-06-29,163.62904215302976,169.70343567034445,163.62904215302976,168.66995239257812,353560
2011-06-30,169.1128612260543,174.63887656148066,169.1128612260543,173.29322814941406,356860
2011-07-01,172.9515722889282,183.49739986752138,172.9515722889282,181.61602783203125,1116460
2011-07-04,181.8100599240645,188.43284451842388,181.8100599240645,187.11671447753906,1276580
2011-07-05,187.11664722642183,187.11664722642183,179.9117463769242,180.56558227539062,409540
2011-07-06,180.5466555611735,184.551958287592,179.27904519366078,180.48338317871094,754600
2011-07-07,181.38815210199243,182.82238142767,180.5613631992661,181.19200134277344,226820
2011-07-08,182.6114972281595,182.6114972281595,179.2790192104414,179.80419921875,148440
2011-07-11,179.70085713235548,183.2442517405827,179.70085713235548,181.774169921875,502700
2011-07-12,183.45517518254664,183.70827756556773,179.78523568536772,182.0061798095703,618360
2011-07-13,182.22764185876616,182.65369732765402,176.32620203916716,182.4364471435547,471300
2011-07-14,184.76288222814506,184.76288222814506,181.3882177125625,182.68113708496094,429680
2011-07-15,184.72070485298406,185.98620410460074,183.0755584005472,185.5010986328125,519660
2011-07-18,185.6065765028664,188.85469674099673,183.49741086078836,187.47108459472656,552180
2011-07-19,187.75791996020482,190.66856584647047,185.0160047433861,185.62765502929688,291060
2011-07-20,188.30418664675113,188.30418664675113,180.12273810649816,180.60995483398438,263340
2011-07-21,181.0486145821595,184.88939574581258,177.69081468793962,179.3064422607422,236120
2011-07-22,179.4920771139091,182.86463034743633,179.4899658888908,181.78684997558594,194780
2011-07-25,182.44278542473225,183.8770151516726,178.77073456385585,179.10397338867188,285680
2011-07-26,178.2582561442448,180.79558885280457,178.2582561442448,179.48158264160156,241140
