Date,Open,High,Low,Close,Volume
2011-05-09,198.37570867315603,199.6258946608765,196.59858843780867,198.23106384277344,8012908
2011-05-10,198.23108306668067,199.18163391812874,195.59639777895134,196.46429443359375,8143376
2011-05-11,197.1358644113188,198.045074264381,194.96612302741255,197.43548583984375,8197011
2011-05-12,196.61928091004395,197.29087388094305,194.44955295875096,195.3794403076172,9218985
2011-05-13,195.327765232836,198.78900616918915,193.8192848083345,195.89602661132812,13906027
2011-05-16,196.3092974704765,196.59858712931631,194.563172567547,195.27609252929688,7008149
2011-05-17,195.41042374572098,195.6480545589951,189.5418103062013,190.244384765625,17384039
2011-05-18,190.11007208827172,190.9056463138348,185.636289577999,186.35952758789062,24814804
2011-05-19,187.71303762870193,190.52336315314568,186.95880427037423,189.18019104003906,18072585
2011-05-20,189.7897551963092,191.3085672870127,188.1056347291776,190.77130126953125,13873483
2011-05-23,189.90346294504218,190.52338329582656,186.6591887397056,187.91969299316406,14836682
2011-05-24,187.21712104488606,190.29607308393648,187.21712104488606,189.23187255859375,11107409
2011-05-25,188.89089098964783,188.89089098964783,186.18389695852898,187.21710205078125,13112272
2011-05-26,188.58094764619386,193.59199674511825,188.2709805845961,192.97207641601562,30001792
2011-05-27,193.023713090503,196.9085706157672,193.023713090503,195.3690948486328,15134521
2011-05-30,196.09235336350602,196.92925476523448,193.05472860905297,194.00527954101562,7564463
2011-05-31,195.2761101307906,197.5284921397115,193.68496168739057,196.6916046142578,14083332
2011-06-01,196.72258662501315,198.0967539176425,194.99712523038224,195.64804077148438,8042814
2011-06-02,193.5299783800347,197.28052273254588,193.5299783800347,196.52627563476562,9418728
2011-06-03,198.479055932998,199.8222280829048,192.48646082523396,193.12704467773438,19110238
2011-06-06,193.13734131273347,194.4081908054678,191.79416940720844,193.77793884277344,6149800
2011-06-07,192.91003487083708,198.37569444763022,192.91003487083708,198.01406860351562,17612490
2011-06-08,197.39415259922953,197.53879742228892,195.05910291368014,196.1439666748047,14205061
2011-06-09,195.79267718010067,197.9314092825163,195.68935945420407,197.13584899902344,9152117
2011-06-10,197.36316495746271,197.54913688005914,192.6000794433981,195.17276000976562,11068775
2011-06-13,194.91446888199636,194.91446888199636,190.31669166787287,191.26724243164062,12923374
2011-06-14,191.20526437919563,192.5381046497757,188.0436586702936,188.32261657714844,18967099
2011-06-15,188.45694187842955,189.88276810616557,185.68794361689734,186.0908966064453,20156715
2011-06-16,186.1839173468422,186.1839173468422,182.69168044202542,183.4045867919922,24969151
2011-06-17,184.1794673254461,184.59275209850446,178.78612931492196,179.5196990966797,22029696
